Date,Close
1/2/13,66.78
1/3/13,65.38
1/4/13,64.71
1/7/13,63.66
1/8/13,63.14
1/9/13,63.5
1/10/13,64.67
1/11/13,65.42
1/14/13,64.4
1/15/13,63.08
1/16/13,63.82
1/17/13,68.35
1/18/13,69.17
1/22/13,69.92
1/23/13,69.24
1/24/13,71.16
1/25/13,74.04
1/28/13,75.47
1/29/13,75.27
1/30/13,75.22
1/31/13,75.09
2/1/13,78.21
2/4/13,76.43
2/5/13,76.5
2/6/13,75.99
2/7/13,75.29
2/8/13,74.78
2/11/13,74.91
2/12/13,74.96
2/13/13,74.26
2/14/13,74.85
2/15/13,72.64
2/19/13,73.96
2/20/13,72.15
2/21/13,70.62
2/22/13,71.65
2/25/13,69.73
2/26/13,71.55
2/27/13,71.79
2/28/13,70.98
3/1/13,71.63
3/4/13,71
3/5/13,72.28
3/6/13,72.04
3/7/13,70.84
3/8/13,69.73
3/11/13,69.98
3/12/13,69.46
3/13/13,69.69
3/14/13,71.8
3/15/13,70.82
3/18/13,69.77
3/19/13,69.62
3/20/13,69.97
3/21/13,69.22
3/22/13,68.32
3/25/13,68.68
3/26/13,66.96
3/27/13,66.26
3/28/13,67.99
4/1/13,67.08
4/2/13,66.84
4/3/13,66.24
4/4/13,66.08
4/5/13,66.71
4/8/13,67.05
4/9/13,67.09
4/10/13,68.66
4/11/13,69.32
4/12/13,69.11
4/15/13,66.47
4/16/13,67.78
4/17/13,69.48
4/18/13,71.41
4/19/13,71.99
4/22/13,71.24
4/23/13,72.48
4/24/13,73.54
4/25/13,74.78
4/26/13,73.72
4/29/13,74.56
4/30/13,74.37
5/1/13,74.02
5/2/13,75.9
5/3/13,77.5
5/6/13,76.22
5/7/13,77.03
5/8/13,76.62
5/9/13,76.42
5/10/13,78.31
5/13/13,77.55
5/14/13,77.63
5/15/13,78.53
5/16/13,77.71
5/17/13,78.97
5/20/13,79.99
5/21/13,80.67
5/22/13,80.08
5/23/13,80.06
5/24/13,81.3
5/28/13,84.08
5/29/13,83.16
5/30/13,83.61
5/31/13,81.27
6/3/13,81.7
6/4/13,79.8
6/5/13,77.88
6/6/13,79.56
6/7/13,80.59
6/10/13,80.67
6/11/13,79.41
6/12/13,78.68
6/13/13,80.18
6/14/13,79.77
6/17/13,79.27
6/18/13,80.35
6/19/13,80.08
6/20/13,77.07
6/21/13,76.42
6/24/13,74.51
6/25/13,75.75
6/26/13,76.83
6/27/13,78.05
6/28/13,79.11
7/1/13,78.4
7/2/13,78.58
7/3/13,79.68
7/5/13,82.1
7/8/13,81.53
7/9/13,82.13
7/10/13,83.85
7/11/13,87.34
7/12/13,87.15
7/15/13,86.92
7/16/13,87.74
7/17/13,88.97
7/18/13,89.08
7/19/13,89.05
7/22/13,88.65
7/23/13,88.57
7/24/13,88.41
7/25/13,89.67
7/26/13,89.18
7/29/13,89.44
7/30/13,90.09
7/31/13,89.95
8/1/13,91.19
8/2/13,91.93
8/5/13,92.02
8/6/13,92.06
8/7/13,91.5
8/8/13,91.88
8/9/13,91.48
8/12/13,91.4
8/13/13,92.06
8/14/13,92.99
8/15/13,91.06
8/16/13,91.4
8/19/13,90.78
8/20/13,90.3
8/21/13,90.22
8/22/13,90.8
8/23/13,90.83
8/26/13,90.57
8/27/13,87.92
8/28/13,88.28
8/29/13,87.92
8/30/13,87.06
9/3/13,88.39
9/4/13,89.6
9/5/13,89.73
9/6/13,88.77
9/9/13,89.44
9/10/13,90.37
9/11/13,89.43
9/12/13,92.67
9/13/13,92.94
9/16/13,92.8
9/17/13,92.91
9/18/13,94.75
9/19/13,95.64
9/20/13,97.47
9/23/13,95.88
9/24/13,97.44
9/25/13,97.81
9/26/13,97.67
9/27/13,98.45
9/30/13,98.76
10/1/13,100.91
10/2/13,100.66
10/3/13,100.55
10/4/13,100.96
10/7/13,99.46
10/8/13,97.43
10/9/13,96.09
10/10/13,97.71
10/11/13,97.88
10/14/13,97.07
10/15/13,95.15
10/16/13,94.98
10/17/13,93.84
10/18/13,92.84
10/21/13,93.14
10/22/13,94.11
10/23/13,93.32
10/24/13,94.09
10/25/13,94.31
10/28/13,94.33
10/29/13,94.2
10/30/13,94.64
10/31/13,94.7
11/1/13,92.65
11/4/13,91.77
11/5/13,90.52
11/6/13,90.54
11/7/13,87.3
11/8/13,87.37
11/11/13,87.38
11/12/13,86.94
11/13/13,87.68
11/14/13,88.9
11/15/13,89.93
11/18/13,88.86
11/19/13,89.12
11/20/13,88.33
11/21/13,89.92
11/22/13,91.72
11/25/13,92.08
11/26/13,92.76
11/27/13,93.59
11/29/13,93.38
12/2/13,93.74
12/3/13,93.78
12/4/13,91.48
12/5/13,91.14
12/6/13,91.45
12/9/13,91.8
12/10/13,91.04
12/11/13,91.1
12/12/13,89.37
12/13/13,88.1
12/16/13,88.22
12/17/13,87.91
12/18/13,89.78
12/19/13,90.84
12/20/13,91.48
12/23/13,92.24
12/24/13,92.65
12/26/13,93.47
12/27/13,94.07
12/30/13,93.44
12/31/13,93.7
1/2/14,92.36
1/3/14,92.04
1/6/14,90.15
1/7/14,89.39
1/8/14,89.63
1/9/14,90.14
1/10/14,91.07
1/13/14,90.36
1/14/14,91.19
1/15/14,89.44
1/16/14,85.22
1/17/14,84.4
1/21/14,87.15
1/22/14,91.29
1/23/14,88.39
1/24/14,87.59
1/27/14,87.62
