Date,Close
10/19/16,14.09
10/20/16,13.94
10/21/16,13.82
10/24/16,14.01
10/25/16,14.41
10/26/16,14.8
10/27/16,15.82
10/28/16,16.74
10/31/16,18.25
11/1/16,17.95
11/2/16,15.36
11/3/16,15.32
11/4/16,15.2
11/7/16,15.21
11/8/16,15.89
11/9/16,16.27
11/10/16,16.84
11/11/16,17.5
11/14/16,17.6
11/15/16,18.15
11/16/16,21.58
11/17/16,21.8
11/18/16,20.5
11/21/16,20.8
11/22/16,20.07
11/23/16,19.34
11/25/16,20.4
11/28/16,20.56
11/29/16,23.07
11/30/16,21.82
12/1/16,19.98
12/2/16,19.03
12/5/16,20.94
12/6/16,22.23
12/7/16,20.89
12/8/16,21.1
12/9/16,20.77
12/12/16,20.36
12/13/16,19.6
12/14/16,19.11
12/15/16,19.18
12/16/16,19.52
12/19/16,20.55
12/20/16,20.18
12/21/16,20.28
12/22/16,20.12
12/23/16,20.86
12/27/16,21.02
12/28/16,20
12/29/16,20.03
12/30/16,20.26
1/3/17,22.5
1/4/17,23.55
1/5/17,22.96
1/6/17,22.54
1/9/17,22.89
1/10/17,22.99
1/11/17,22.39
1/12/17,22.23
1/13/17,21.14
1/17/17,21.5
1/18/17,22.23
1/19/17,21.03
1/20/17,20
1/23/17,18.54
1/24/17,18.95
1/25/17,18.84
1/26/17,18.58
1/27/17,18.43
1/30/17,17.74
1/31/17,17.75
2/1/17,17.22
2/2/17,16.26
2/3/17,15.65
2/6/17,15.75
2/7/17,15.22
2/8/17,14.9
2/9/17,14.78
2/10/17,15.01
2/13/17,16.43
2/14/17,17.26
2/15/17,15.9
2/16/17,18.49
2/17/17,18.07
2/21/17,17.3
2/22/17,17.71
2/23/17,17.64
2/24/17,17.9
2/27/17,19.95
2/28/17,23.73
3/1/17,22.47
3/2/17,21.54
3/3/17,21.14
3/6/17,21.88
3/7/17,21.34
3/8/17,22.43
3/9/17,21.37
3/10/17,21.15
3/13/17,21.17
3/14/17,21.34
3/15/17,21
3/16/17,20.49
3/17/17,20.75
3/20/17,21.24
3/21/17,19.72
3/22/17,18.68
3/23/17,17.81
3/24/17,17.88
3/27/17,18.24
3/28/17,20.42
3/29/17,20.77
3/30/17,20.72
3/31/17,21.77
4/3/17,21.61
4/4/17,20.9
4/5/17,19.85
4/6/17,19.47
4/7/17,19.29
4/10/17,18.86
4/11/17,18.9
4/12/17,18.9
4/13/17,19.41
4/17/17,19.87
4/18/17,19.17
4/19/17,17.57
4/20/17,17.29
4/21/17,16.97
4/24/17,16.58
4/25/17,16.9
4/26/17,16.67
4/27/17,17
4/28/17,17.02
5/1/17,17.02
5/2/17,16.6
5/3/17,16.21
5/4/17,16.7
5/5/17,16.98
5/8/17,16.7
5/9/17,16.95
5/10/17,17.02
5/11/17,16.79
5/12/17,17
5/15/17,17.15
5/16/17,16.52
5/17/17,15.51
5/18/17,15.77
5/19/17,15.54
5/22/17,15.55
5/23/17,15.75
5/24/17,15.65
5/25/17,15.38
5/26/17,15.04
5/30/17,14.24
5/31/17,13.62
6/1/17,14.34
6/2/17,14.24
6/5/17,14.28
6/6/17,14.31
6/7/17,14.78
6/8/17,15
6/9/17,14.6
6/12/17,14.21
6/13/17,14.48
6/14/17,14.25
6/15/17,14.43
6/16/17,14.81
6/19/17,14.79
6/20/17,14.88
6/21/17,15.04
6/22/17,16.14
6/23/17,16.44
6/26/17,17.25
6/27/17,17.31
6/28/17,17.11
6/29/17,16.07
6/30/17,16.02
7/3/17,15.81
7/5/17,16.08
7/6/17,15.78
7/7/17,15.88
7/10/17,16.03
7/11/17,16.67
7/12/17,16.71
7/13/17,17.07
7/14/17,16.99
7/17/17,17.1
7/18/17,17
7/19/17,16.89
7/20/17,16.53
7/21/17,16.64
7/24/17,17.09
7/25/17,17.49
7/26/17,17.74
7/27/17,17.67
7/28/17,17.29
7/31/17,17.49
8/1/17,16.9
8/2/17,16.75
8/3/17,17.91
8/4/17,18.4
8/7/17,18.5
8/8/17,18.74
8/9/17,17.57
8/10/17,17.8
8/11/17,19.22
8/14/17,19.68
8/15/17,19.35
8/16/17,18.86
8/17/17,18.42
8/18/17,18.34
8/21/17,18.35
8/22/17,18.37
8/23/17,18.41
8/24/17,19.35
8/25/17,19.5
8/28/17,19.69
8/29/17,19.84
8/30/17,20.66
8/31/17,20.48
9/1/17,20.56
