Date,Close
1/2/2013,7.07
1/3/2013,6.95
1/4/2013,6.88
1/7/2013,6.87
1/8/2013,6.74
1/9/2013,6.73
1/10/2013,6.71
1/11/2013,6.58
1/14/2013,6.65
1/15/2013,6.78
1/16/2013,6.82
1/17/2013,6.88
1/18/2013,6.9
1/22/2013,7.04
1/23/2013,7.2
1/24/2013,7.4
1/25/2013,7.4
1/28/2013,7.61
1/29/2013,7.59
1/30/2013,7.5
1/31/2013,7.5
2/1/2013,7.66
2/4/2013,7.55
2/5/2013,7.63
2/6/2013,7.83
2/7/2013,7.9
2/8/2013,7.85
2/11/2013,7.68
2/12/2013,7.58
2/13/2013,7.69
2/14/2013,7.66
2/15/2013,7.41
2/19/2013,7.86
2/20/2013,7.71
2/21/2013,7.03
2/22/2013,7.22
2/25/2013,6.88
2/26/2013,6.89
2/27/2013,7.02
2/28/2013,6.97
3/1/2013,6.93
3/4/2013,7.12
3/5/2013,7.33
3/6/2013,7.54
3/7/2013,7.65
3/8/2013,7.69
3/11/2013,7.82
3/12/2013,7.82
3/13/2013,7.8
3/14/2013,7.37
3/15/2013,7.06
3/18/2013,7.03
3/19/2013,7.02
3/20/2013,7.19
3/21/2013,7.2
3/22/2013,7.32
3/25/2013,7.51
3/26/2013,7.57
3/27/2013,7.63
3/28/2013,7.58
4/1/2013,8.79
4/2/2013,8.87
4/3/2013,8.22
4/4/2013,8.4
4/5/2013,8.27
4/8/2013,8.37
4/9/2013,8.1
4/10/2013,8.37
4/11/2013,8.72
4/12/2013,8.75
4/15/2013,8.66
4/16/2013,9.12
4/17/2013,9.09
4/18/2013,9.39
4/19/2013,9.57
4/22/2013,10.04
4/23/2013,10.2
4/24/2013,10.09
4/25/2013,10.4
4/26/2013,10.24
4/29/2013,10.99
4/30/2013,10.8
5/1/2013,10.66
5/2/2013,10.82
5/3/2013,10.91
5/6/2013,11.9
5/7/2013,11.1
5/8/2013,11.16
5/9/2013,13.88
5/10/2013,15.35
5/13/2013,17.56
5/14/2013,16.65
5/15/2013,16.97
5/16/2013,18.45
5/17/2013,18.3
5/20/2013,17.99
5/21/2013,17.52
5/22/2013,17.45
5/23/2013,18.55
5/24/2013,19.42
5/28/2013,22.07
5/29/2013,20.93
5/30/2013,20.99
5/31/2013,19.55
6/3/2013,18.52
6/4/2013,18.97
6/5/2013,19.07
6/6/2013,19.47
6/7/2013,20.41
6/10/2013,20.01
6/11/2013,18.89
6/12/2013,19.55
6/13/2013,19.64
6/14/2013,20.06
6/17/2013,20.44
6/18/2013,20.68
6/19/2013,20.94
6/20/2013,20.13
6/21/2013,19.91
6/24/2013,20.3
6/25/2013,20.48
6/26/2013,21.14
6/27/2013,21.85
6/28/2013,21.47
7/1/2013,23.44
7/2/2013,23.56
7/3/2013,23.05
7/5/2013,24.02
7/8/2013,24.32
7/9/2013,24.69
7/10/2013,24.45
7/11/2013,25.12
7/12/2013,25.98
7/15/2013,25.45
7/16/2013,21.81
7/17/2013,24.05
7/18/2013,23.81
7/19/2013,23.94
7/22/2013,24.49
7/23/2013,24.55
7/24/2013,24.34
7/25/2013,24.81
7/26/2013,25.88
7/29/2013,26.92
7/30/2013,26.35
7/31/2013,26.86
8/1/2013,27.11
8/2/2013,27.6
8/5/2013,28.94
8/6/2013,28.43
8/7/2013,26.85
8/8/2013,30.7
8/9/2013,30.6
8/12/2013,29.48
8/13/2013,29.09
8/14/2013,27.87
8/15/2013,27.93
8/16/2013,28.4
8/19/2013,28.98
8/20/2013,29.92
8/21/2013,29.57
8/22/2013,31.42
8/23/2013,32.37
8/26/2013,32.84
8/27/2013,33.4
8/28/2013,33.29
8/29/2013,33.21
8/30/2013,33.8
9/3/2013,33.79
9/4/2013,34.12
9/5/2013,33.99
9/6/2013,33.39
